一	one	#1
推	push	#502
难	difficult	#503
准	accurate	#504
集	assemble	#505
夂	pursue	#506a
处	place	#506
各	each	#507
路	path	#508
客	guest	#509
丙	third	#510a
疒	illness	#510b
病	disease	#510
杂	mixed	#511
怎	how?	#512
庄	premises	#513a
脏	dirty	#513
总	always	#514
责	duty	#515
绩	achievement	#516
负	to shoulder	#517
才	only just	#518
团	group	#519
因	because	#520
恩	a favor	#521a
嗯	eh	#521
困	difficulty	#522
水	water	#523
求	request	#524
球	ball	#525
勿	don't	#526a
忽	sudden	#526
物	thing	#527
易	easy	#528
踢	kick	#529
𠃓 i.e. 场 without 土	sunny	#530a
场	site	#530
汤	soup	#531
扬	make known	#532
奶	milk	#533
乃	sigh	#533a
及	reach	#534a
极	extremity	#534
级	grade	#535
原 i.e. without 厂	spring	#536a
原	original	#536
愿	to desire	#537
吉	auspicious	#538a
结	tie up	#538
喜	celebration	#539
周 without 冂	foul mouth	#540a
周	week	#540
调	tune	#541
尚	esteem	#542a
躺	lie down	#542
棠	hall	#543
常	often	#544
掌	palm (of hand)	#545
条	slip of paper	#546
务	to work at	#547
备	prepare	#548
鱼	fish	#549
复	repeat	#550
壬	ninth	#551a
任	whatever	#551
计	calculate	#552
设	establish	#553
划	to plan	#554
或	or	#555
咸	salty	#556a
感	feel	#556
喊	shout	#557
布	cloth	#558
希	to wish	#559
卩	seal	#560a
节	festival	#560
却	despite	#561a
脚	foot	#561
𠬝	ruler	#562a
报	to report	#562
服	obey	#563
甬	explosion	#564a
通	pass through	#564
痛	to ache	#565
㔾	hardship	#566a
厄	uphill	#566b
危	danger	#566
顾	attend to	#567
𠃊	conceal	#568a
亡	perish	#568b
忙	busy	#568
忘	forget	#569
望 without 王	wane	#570a
望	gaze	#570
雨	rain	#571
雪	snow	#572
彡	hairs	#573a
参	consult	#573
景	view	#574a
影	shadow	#574
匃	beggar	#575a
曷	a drink	#575b
喝	to drink	#575
渴	thirsty	#576
 i.e. 继 without 纟	cut	#577a
继	continue	#577
世	world	#578
the two bottom strokes of 介	grain stalks	#579a
介	between	#579
界	boundary	#580
亦	as well	#581a
变	transform	#581
夭	die young	#582a
笑	smile	#582
乔	tall	#583a
桥	bridge	#583
歹	evil	#584a
列	line up	#584b
例	example	#584
死	die	#585
解 without 角	gimlet	#586a
解	untie	#586
刍	hay	#587a
急	urgent	#587
彦	a good man	#588a
颜	complexion	#588
许	to permit	#589
需	need	#590
须	have to	#591
续	carry on	#592
令	command	#593a
冷	cold	#593
零	zero	#594
领	to lead	#595
召	summon	#596a
绍	continue	#596
昭	obvious	#597a
照	shine	#597
查	check up	#598
佥	conference	#599a
检	inspect	#599
脸	face	#600
险	risky	#601
验	examine	#602
式	style	#603a
试	to try	#603
考	to test	#604
斗	fight	#605a
科	classification	#605
研	research	#606
幺	smallest	#607a
糸	thread	#607b
系	cluster	#607
累	exhausted	#608
戋	tiny	#609a
践	carry out	#609
钱	money	#610
浅	shallow	#611
乚	hook	#612a
礼	gift	#612
乱	chaotic	#613
育 without 月	new-born baby	#614a
育	nurture	#614
川	flood	#615a
㐬	birth	#615b
流	to flow	#615
穴	hole	#616a
究	investigate	#616
空	empty	#617
突	prominent	#618
罙	hearth	#619a
深	deep	#619
由	because	#620a
抽	to extract	#620
邮	mail	#621
申	to state	#622a
神	gods	#622
寅 without 亠 and 八	polite	#623a
寅	tiger	#623b
演	perform	#623
黄	yellow	#624
 i.e. 共 without 八	bacon rashers	#625a
共	collectively	#625
凵	pit	#626a
画	drawing	#626
怕	fear	#627
拍	clap	#628
吅	cry out	#629a
哭	weep	#629
器	utensil	#630
品	goods	#631a
喿	chirp	#631b
操	exercise	#631
澡	bathe	#632
早	early	#633
章	badge	#634
草	straw	#635
包	parcel	#636
饱	replete	#637
抱	embrace	#638
跑	run	#639
冏	porthole	#640a
商	trade	#640
佰	$100 check	#641a
宿	stay overnight	#641
予	bestow	#642a
预	in advance	#642
舍	shed	#643
舒	spread out	#644
兴	excited	#645
矛	spear	#646a
矞	stab	#646b
橘	tangerine	#646
桔	tangerine	#647
举	to raise	#648
句	sentence	#649
局	office	#650
够	enough	#651
付	pay	#652a
附	near to	#652
府	government	#653
凶	terrible	#654a
㐫	brain	#654b
禸	rump	#654c
离	distant from	#654
禺	monkey	#655a
遇	encounter	#655
脱	undress	#656
聿	write with brush	#657a
廴	stride	#657b
建	build	#657
健	strong	#658
廷	court	#659a
庭	courtyard	#659
挺	exceptionally	#660
肖	resemble	#661a
消	vanish	#661
息	stop	#662
留 withou 刀 and 田	an open door	#663a
留 without 田	barred	#663b
留	remain	#663
 i.e. 𠂢 without 𠂆	brigade	#664a
𠂢	tributary	#664b
派	group	#664
畏 without 田	a skirt	#665a
展 without 尸	gown	#665b
展	display	#665
畏	respect	#666a
喂	Hey!	#666
 i.e. 侯 without 亻 and 矢	target	#667a
侯 without 亻	archery contest	#667b
亻丨side by side as in the left part of 候	man with a stick	#667c
候	wait for	#667
齐	tidy	#668
挤	squeeze	#669
济	bring relief	#670
 i.e. the two "boxes" on top of 黑, but without the drops inside (almost like two 口口 side by side)	kiss	#671a
 i.e. the two "boxes" of 黑 with the drops inside.	windowpane	#671b
黑	black	#671
曾	used to be	#672a
增	to increase	#672
免	avoid	#673a
晚	evening	#673
象	elephant	#674a
像	likeness	#674
奂	wonderful	#675a
换	exchange	#675
冈	ridge	#676a
刚	barely	#676
钢	steel	#677
鸟	bird	#678a
鸡	chicken	#678
虫	insect	#679a
虽	although	#679
舟	boat	#680a
般	a sort	#680
搬	move	#681
卬 without 卩	a vise	#682a
卬	aspire	#682b
迎	greet	#682
氏	surname	#683a
纸	paper	#683
氐	settle down	#684a
低	low	#684
永	forever	#685
泳	swim	#686
 i.e. 斿 without 子	banner	#687a
族	clan	#687
斿	roam	#688a
游	to tour	#688
冬	winter	#689
疼	ache	#690
图	diagram	#691
 i.e. 春 without 日	held in the hands	#692a
春	springtime	#692
秋	autumn	#693
夏	summer	#694
 i.e. the small stroke that pierces 丸	splinter	#695a
丸	pellet	#695b
执	hold on to	#695c
热	hot	#695
享	enjoy	#696a
孰	cooked	#696b
熟	familiar	#696
刂except without the hooking of the right stroke, as in 坚	two sticks	#697a
 i.e. 坚 without 土 	firm	#697b
坚	resolute	#697
紧	tight	#698
 i.e. 览 without 见	prostrate	#699a
览	to view	#699
皿	dish	#700a
监	supervise	#700b
蓝	blue	#700
篮	basket	#701
畐	plenty	#702a
福	blessing	#702
富	wealthy	#703
丰	abundant	#704
邦	nation	#705a
帮	help	#705
韦	leather	#706a
围	surround	#706
伟	great	#707a
圭	jade block	#708a
挂	hang	#708
封	seal up	#709
街	street	#710
革	leather	#711a
鞋	shoe	#711
双	pair	#712
 i.e. 练 without 纟	to select	#713a
炼	smelt	#713
练	to train	#714
段 without 殳	ivy	#715a
段	piece	#715
锻	forge	#716
屯	to store	#717a
顿	session	#717
烦	bother	#718
斥	drive out	#719a
诉	tell	#719
约	approximate	#720a
药	medicine	#720
争	contend	#721a
净	clean	#721
静	calm	#722
𠦝	daybreak	#723a
朝	facing	#723
卓	eminent	#724a
掉	to drop	#724
桌	table	#725
敢 without 攵	earring	#726a
敢	dare	#726
休	leisure	#727
退	retreat	#728
腿	leg	#729
豆	bean	#730a
短	brief	#730
吴	shout out	#731a
误	mistake	#731
采	pick	#732a
彩	colorful	#732
菜	vegetable	#733
釆	claw marks	#734a
番	a time	#734b
播	to sow	#734
习	to practice	#735
羽	feather	#736a
翻	turn over	#736
 i.e. 译 without 讠	watch over	#737a
译	translate	#737
余	surplus	#738a
除	to remove	#738
茶	tea	#739
奇	strange	#740a
骑	ride	#740
椅	chair	#741
寄	send	#742
